addr,token,result
0,2415920032,"adrp x0, 0x74000"
4,4182218752,"ldr x0, [x0, #0xf30]"
8,3019898944,"cbz x0, 0x10"
0xb0c,402652477,"b 0x0"
16,3596551104,"ret"
20,2952790945,"adrp x1, 0x75000"
24,2952790944,"adrp x0, 0x75000"
28,2435473441,"add x1, x1, #0xa98"
32,2435473408,"add x0, x0, #0xa98"
36,2432703521,"add x1, x1, #0x7"
40,3405774881,"sub x1, x1, x0"
44,4043323455,"cmp x1, #0xe"
48,1409286313,"b.ls 0x44"
52,2415920033,"adrp x1, 0x74000"
56,4182201377,"ldr x1, [x1, #0xea8]"
60,3019898945,"cbz x1, 0x44"
64,3592355872,"br x1"
92,2470706210,"asr x2, x1, #0x3"
96,2336422978,"add x2, x2, x2, LSR #0x3f"
100,2470575169,"asr x1, x2, #0x1"
104,3019899041,"cbz x1, 0x7c"
108,2415920034,"adrp x2, 0x74000"
112,4182240322,"ldr x2, [x2, #0xfd8]"
116,3019898946,"cbz x2, 0x7c"
120,3592355904,"br x2"
128,2847833085,"stp x29, x30, [sp, #-0x20]!"
132,2432697341,"mov x29, sp"
136,4177529843,"str x19, [sp, #0x10]"
140,2952790963,"adrp x19, 0x75000"
144,963273312,"ldrb w0, [x19, #0xa98]"
148,889192768,"cbnz w0, 0xbc"
156,4182203392,"ldr x0, [x0, #0xeb8]"
160,3019899008,"cbz x0, 0xb0"
168,4182056960,"ldr x0, [x0, #0xa40]"
172,2550135657,"bl -0x11b0"
176,2550136793,"bl 0x14"
180,1384120352,"mov w0, #0x1"
184,959079008,"strb w0, [x19, #0xa98]"
188,4181724147,"ldr x19, [sp, #0x10]"
192,2831318013,"ldp x29, x30, [sp], #0x20"
200,2847898621,"stp x29, x30, [sp, #-0x10]!"
212,2435178496,"add x0, x0, #0x978"
216,4181721089,"ldr x1, [x0]"
220,3036676193,"cbnz x1, 0xe8"
224,2831252477,"ldp x29, x30, [sp], #0x10"
228,402653145,"b 0x48"
236,4182234145,"ldr x1, [x1, #0xfa8]"
240,3036675969,"cbz x1, 0xe0"
244,3594453024,"blr x1"
248,402653178,"b 0xe0"
260,2835436531,"stp x19, x20, [sp, #0x10]"
